movieId,titles,studio,genres,directors,writers,actors,year,length,shortDescription,mpaRating,criticsRating,imageName
1,Star Wars: Episode V - The Empire Strikes Back,Twentieth Century Fox,"Action, Adventure, Fantasty",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan,George Lucas","Mark Hamill,Harrison Ford,Carrie Fisher",1980,124,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,8.7,q
2,The Matrix,Warner Bros. Pictures,"Action,Sci-Fi","Lana Wachowski,Lilly Wachowski","Lana Wachowski,Lilly Wachowski","Keanu Reaves,Laurence Fishburne,Carrie-Anne Moss",1999,136,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R,8.7,w
3,Star Wars: Episode IV - A New Hope,Twentieth Century Fox,"Action, Adventure, Fantasty",George Lucas,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher",1977,121,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,8.6,e
4,Back to the Future,Universal Pictures,"Adventure,Comedy,Sci-Fi",Robert Zemeckis,"Robet Zemeckis,Bob Gale","Michael J. Fox,Christopher Lloyd,Lea Thompson",1985,116,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",PG,8.5,r
5,Alien,Twentieth Century Fox,"Horror,Sci-Fi",Ridley Scott,"Dan O'Bannon,Ronald Shusett","Sigourney Weaver,Tom Skerritt,John Hurt",1979,117,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,R,8.5,t
6,Raiders of th Lost Ark,Paramount Pictures,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan, George Lucas, Philip Kaufman","Harrison Ford, Karen Allen,Paul Freeman",1981,115,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",PG,8.4,y
7,Blade Runner,Warner Bros. Pictures,"Action, Drama,Sci-Fi",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young",1982,117,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,R,8.1,u
8,The Terminator,Orion Pictures,"Action,Sci-Fi",James Cameron,"James Cameron,Gale Anne Hurd,William Wisher","Arnold Schwarzenegger, Linda Hamilton, Michael Biegn",1984,107,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",R,8.1,i
9,The Princess Bride,Twentieth Century Fox,"Adventure,Comedy,Family",Rob Reiner,William Goldman,"Cary Elwes,Mandy Patinkin,Robin Wright",1987,98,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG,8,o
10,Star Trek II: The Wrath of Khan,Paramount Pictures,"Action,Adventure,Sci-Fi",Nicholas Meyer,"Gene Roddenberry,Jack B. Sowards,Harve Bennett","William Shatner,Leonard Nimoy,DeForest Kelley",1982,113,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",PG,7.7,a
11,Inception,Warner Bros.,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page",2010,148,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,PG,8.8,s
12,The Dark Knight,Warner Bros.,"Action, Crime, Drama",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart",2008,152,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham.",PG,9,d
13,Pulp Fiction,Miramax,"Crime, Drama",Quentin Tarantino,"Quentin Tarantino, Roger Avary","John Travolta, Uma Thurman, Samuel L. Jackson",1994,154,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R,8.9,f
14,The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,"Action, Adventure, Drama",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Peter Jackson","Elijah Wood, Ian McKellen, Orlando Bloom",2001,178,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG,8.8,g
15,Fight Club,20th Century Fox,Drama,David Fincher,"Chuck Palahniuk, Jim Uhls","Brad Pitt, Edward Norton, Meat Loaf",1999,139,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R,8.8,h
16,Forrest Gump,Paramount Pictures,"Drama, Romance",Robert Zemeckis,"Winston Groom, Eric Roth","Tom Hanks, Robin Wright, Gary Sinise",1994,142,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",PG,8.8,j
17,The Shawshank Redemption,Columbia Pictures,Drama,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton",1994,142,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",R,9.3,k
18,Gladiator,DreamWorks Pictures,"Action, Adventure, Drama",Ridley Scott,"David Franzoni, John Logan, William Nicholson","Russell Crowe, Joaquin Phoenix, Connie Nielsen",2000,155,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R,8.5,l
19,The Godfather,Paramount Pictures,"Crime, Drama",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan",1972,175,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,R,9.2,z
20,The Godfather: Part II,Paramount Pictures,"Crime, Drama",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Al Pacino, Robert De Niro, Robert Duvall",1974,202,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate.",R,9,x